Ad Feelders
Ada Fu
Aidong Zhang
Aijun An
Alejandro Jaimes
Alex Freitas
Alexander Hinneburg
Alexander Tuzhilin
Alexandre Evfimievski
Alexandros Kalousis
Alexandros Karatzoglou
Alipio Jorge
Alok Choudhary
Ambuj K. Singh
Andre Elisseeff
Andrew McCallum
Andrzej Skowron
Anirban Dasgupta
Anitha Kannan
Ankur Teredesai
Ansaf Salleb-Aouissi
Anthony K. H. Tung
Anton Schwaighofer
Antonia de Medinaceli
Ariel Fuxman
Arindam Banerjee
Aristides Gionis
Arno Siebes
Arun Surendran
Balaji Padmanabhan
Bamshad Mobasher
Bart Goethals
Benjamin Fung
Bernhard Pfahringer
Bernhard Scholkopf
Bettina Berendt
Bharat Rao
Bianca Zadrozny
Bing Liu
Bo Long
Brian Davison
Brigitte Trousse
Bruno Delahaye
Byron Dom
C. Lee Giles
Carla Brodley
Carlos Soares
Carlotta Domeniconi
Cesar Ferri
Chabane Djeraba
Chahab Nastar
Chang-Tien Lu
Charles Elkan
Charles Ling
Charles Sutton
Charu Aggarwal
Chengqi Zhang
ChengXiang Zhai
Chid Apte
Chiranjib Bhattacharya
Chris Clifton
Chris Ding
Chris Drummond
Chris Giannella
Chris Jermaine
Chris Meek
Chris Pal
Chris Volinsky
Christian Borgelt
Christos Faloutsos
Chunsheng Yang
Claudia Perlich
Corinna Cortes
D Sivakumar
Dacheng Tao
Dan Kifer
Daniel Barbara
Daniel Keim
Daryl Pregibon
David Aha
David Cheung
David Jensen
David Page
David Pennock
David Poole
David Vogel
Deepak Agarwal
Deepayan Chakrabarti
Dejing Dou
Dell Zhang
Diane Cook
Dimitrios Gunopulos
Dino Pedreschi
Dmitry Pavlov
Domenico Talia
Domonkos Tikk
Donato Malerba
Dong Xin
Dou Shen
Dragos Margineantu
Dunja Mladenic
Eamonn Keogh
Ee Peng Lim
Eibe Frank
Einoshin Suzuki
Emmanuel Viennet
Eric Bloedorn
Eric Xing
Erik Vee
Eugene Agichtein
Fabrice Clerot
Fabrice Guillet
Filip Radlinski
Floriana Esposito
Fosca Giannotti
Foster Provost
Francesco Bonchi
Francoise Soulie Fogelman
Frans Coenen
Gabor Melli
Gao Cong
Gary Weiss
Gautam Das
Gemma Garriga
George Forman
George Karypis
George Kollios
Georges Hebrail
Gerhard Paass
Gerson Zaverucha
Gigi Andrew
Glenn Fung
Graham Williams
Greg Hamerly
Gregory Piatetsky-Shapiro
Guozhu Dong
Haesun Park
Haimonti Dutta
Haixun Wang
Hang Li
Hannu Toivonen
Hans-Peter Kriegel
Hasan Jamil
Haym Hirsh
Heikki Mannila
Hendrik Blockeel
Henrik Bostrom
Hiroki Arimura
Honghua Dai
Hongyuan Zha
Howard Hamilton
Huan Liu
Hui Xiong
Huzefa Rangwala
Ian Davidson
Inderjit Dhillon
Indrajit Bhattacharya
Ira Cohen
Isabelle Guyon
Ismail Parsa
Jaakko Hollmen
Jaideep Srivastava
Jake Chen
Jamshid Vayghan
Jason Wang
Jean-Francois Boulicaut
Jeff Jonas
Jeffrey Yu
Jennifer Dy
Jennifer Neville
Jian Pei
Jianyong Wang
Jiawei Han
Jia-yu Pan
Jieping Ye
Jimeng Sun
Jinyan Li
Jiong Yang
Ji-Rong Wen
Joao Gama
Joerg Sander
Johannes Furnkranz
Johannes Gehrke
John Elder
John Platt
Joost Kok
Jose Hernandez-Orallo
Joydeep Ghosh
JR Lawhorne
Julio Ortega
Junghoo Cho
Jure Leskovec
K.P. Unnikrishnan
Kai Yu
Kaidi Zhao
Kamal Ali
Kamal Nigam
Kamalakar Karlapalem
Kanishka Bhaduri
Karl Rexer
Karsten Borgwardt
Ke Wang
Kenneth Church
Kiri Wagstaff
Krishnaram Kenthapadi
Kristin Bennett
Kun Liu
Kyuseok Shim
Lars Schmidt-Thieme
Latifur Khan
Laxmi Parida
Le Gruenwald
Lee Zen
Lei Yu
Lise Getoor
Llew Mason
LoftiBen Romdhane
Lorenza Saitta
Lotfi Lakhal 
Luc De Raedt
Luis Torgo
Luke Huan
Lyle Ungar
Malu Castellanos
Manoranjan Dash
Marc Boulle
Marc Najork
Mark Embrechts
Mark Sandler
Marko Grobelnik
Martin Ester
Martin Scholtz
Masaru Kitsuregawa
Masashi Toyoda
Massih-Reza Amini
Matthew Hurst
Matthew Richardson
Matthias Schubert
Mehran Sahami
Michael Berthold
Michael Madden
Michael Mahoney
Michael Pazzani
Michael Steinbach
Michail Vlachos
Michele Sebag
Mike Moshell
Mikhail Bilenko
Ming-Syan Chen
Mitsunori Ogihara
Mohammad Al Hasan
Mohammed Zaki
Moninder Singh
Myra Spiliopoulou
Naoki Abe
Naren Ramakrishnan
Neal Rothleder
Nicholas Kushmerick
Nick Koudas
Nicolas Lachiche
Nikos Mamoulis
Nina Mishra
Ning Zhong
Nitesh Chawla
Nitin Sharma
Odile Tripard
Olfa Nasraoui
Osmar Zaiane
Panagiotis G. Ipeirotis
Panayiotis Tsaparas
Pang-Ning Tan
Patrick Gallinari
Pavel Brazdil
Pedro Domingos
Peer Kroeger
Peter Flach
Petros Drineas
Philip Chan
Philip S. Yu
Ping Li
Prem Melville
Qiang Yang
Raghu Krishnapuram
Raghu Ramakrishnan
Rajan Lukose
Rajeev Motwani
Rajeev Rastogi
Rajesh Parekh
Raju Vatsavai
Ralf Herbrich
Ramasamy Uthurusamy
Ramesh Nallapati
Ran Wolff
Ravi Kumar
Rayid Ghani
Ricardo Baeza-Yates
Richard Lawrence
Robert Grossman
Roberto Bayardo
RodneyA. Martin
Ron Bekkerman
Ron Kohavi
Ronaldo Prati
Ronen Feldman
Rosie Jones
Rudy Setiono
Ruihua Sung
Ruoming Jin
Saeed Salem
Saharon Rosset
Salvatore Orlando
Sanjay Chawla
Sanjay Ranka
Sanmay Das
Saso Dzeroski
Shantanu Godbole
Shawndra Hill
Shengrui Wang
Shichao Zhang
Shinichi Morishita
Shipeng Yu
Sholom M. Weiss
Shusaku Tsumoto
Siegfried Nijssen
Sofus Macskassy
Soumen Chakrabarti
Spiros Papadimitriou
Sreenivas Gollapudi
Srikant Ramakrishnan
Srinivasan Parthasarathy
Stan Matwin
Stefan Weber
Stefan Wrobel
Stefanos Manganaris
Stephane Canu
Sugato Basu
Sunita Sarawagi
SVN Vishwanathan
Takashi Washio
Tamas Horvath
Taneli Mielikainen
Tanya Berger-Wolf
Tao Li
Teresa Mah
Thierry Artieres
Thomas Gaertner
Thomas Seidl
Thore Graepel
Thorsten Joachims
Tijl De Bie
Tim Oates
Tobias Scheffer
Tom Au
Tom Fawcett
Tony Hu
Toon Calders
Tu-Bao Ho
Ulrich Ruckert
Usama Fayyad
Vanja Josifovski
Venkatesh Ganti
Venky Ganti
Vibhu Mittal
Vincent LEMAIRE
Vineet Chaoji Rensselaer Polytechnic Institute
Vipin Kumar
Volker Tresp
Wagner Meira
Wai Lam
Wee Sun Lee
Wei Wang
Wolfgang Jank
Wray Buntine
Wynne Hsu
Xiaoli Li
Xiaowei Xu
Xifeng Yan
Xindong Wu
Xintao Wu
Xue-wen Chen
Yan Liu
Yehuda Koren
Yi Zhang
Ying Li
Yixin Chen
Zaiqing Nie
Zheng Chen
Zhi-Hua Zhou
Zhongfei Zhang
Zijian Zheng
Zoran Obradovic
Joseph G. Peters
Tiko Kameda
Jia Liu
Junpu Cai
Yingyi Bu
Leung Tat Wing
Mingfei Jiang
Lau Yung Hang
Chiu Lai Mei
Ng Ka Ka, Eric
Ng Anny
Xiaohui Yu 
Yan Men Hin
Cheung Yin Ling 
Chan Wai To
Wong Wai Chiu
Wong Wai Ching
Kam Po Shan
Renfrew Kwong Wang-wai
Edward Cheng Chun Hung
Franky Chan King Pong
Cai Chun Hing
Kuok Chan Man
Cheung King Lum
Chan Mei Shuen
Hwang Hoi Yee
Lau Wai Kwong
Luk Hing Wah
Ng Ching Ting
Tam Nai Biu
S. Abiteboul
M. Scholl
Bharat Bhargava
Qian Wan
Miro Kuc
Yang Liu
Vlad Gerchikov
Qingsong Yao
Bill Andreopoulos
Linyan Wang
Yu Li
Ying Zou
Zhirong Tao
Damon Sotoudeh-Hosseini
Hashmatullah Rohian
Mehdi Kargar
Bahareh Sarrafzadeh
Ameeta Agrawal
Akhmed Umyarov
Rong Zheng
Tianyi Jiang
Gedas Adomavicius
Balaji Padmanabhan
P. Balasubramanian
Nikolai K. Vereshchagin
Philippe Bonnet
Zhiyuan Chen
Adina Crainiceanu
Abhinandan Das
Dan Kifer
Mingsheng Hong
Prakash Linga
Ashwin Machanavajjhala
David Martin
Tobias Mayr
Mirek Riedewald
Biswanath Panda
Niki Trigoni
Felix Weigel
Xiaokui Xiao
Fan Yang
Yong Yao
Tuan Cao
Michaela G?tz
Nitin Gupta
Ben Sowell
Guozhang Wang
Marcos Vaz Salles
Marcus Chang
Jan Flora
Jonas Fonseca
Sidsel Jensen
Dennis Haney
Jens Jensen
Morten Furbo
Christoffer Hall
Martin Leopold
Esben Zeuthen
Allan Beaufour
Anders Pedersen
Michael Samuel
Bjarke Mortensen
Boris Bonfils
Qinglan Li
Jie Xu
Panickos Neophytou
Shenoda Guirguis
Lory Al Moakar
Roxana Gheorghiu
Thao N. Pham
Kostas Giannakopoulos
Alex Connor
Brian Wongchaowart
Tonya Groover
Huiming Qu
Mohamed Sharaf
Florin Rusu
Amit Dhurandhar
Laukik Chitnis
Lixia Chen
Avery Ching
Kenin Coloma
Jianwei Li
Joseph Zambreno
Ying Liu
Jayaprakash Pisharath
Steve Chiu
Anshuman Nayak
Malay Haldar
Xiaohui Shen
Sachin More
Sanjay Goil
Mahmut Kandemir
Wei-keng Liao
Jaechun No
Rakesh Krishnaiyer
Chutimet Srinilta
Sang-Gue Oh
Meena Kandaswamy
Divyesh Jadav
Senthil Krishnamoorthy
Chaitanya Tumuluri
Rajesh Bordawekar
Rajeev Thakur
Ravi Ponnusamny
Daniel Honbo
Berkin Ozisikyilmaz
Abhishek Das
Ramanathan Narayanan
Nan Jiang
Arifa Nisar
Sanchit Misra
Prabhat Kumar
Xi Chen
Anhai Doan
Zack Ives
Luke McDowell
Jayant Madhavan
Peter Mork
Rachel Pottinger
Igor Tatarinov
Marc Friedman
Luna Dong
Michell Liu
Petko Bogdanov
Kyle Chipman
Nick Larusso
Brian Ruttenberg
Sayan Ranu
Vishwakarma Singh
Gilad Benjamin
Sandeep Bhatia
Arnab Bhattacharya
Jeff Bogda
Sean Brydon
Ahmet Bulut
Orhan Camoglu
Tolga Can
Manhoi Choy
Huahai He
Maureen Heymans
Fengliang Hu
Jerry James
Greg Johnson
Chris Jones
Tamer Kahveci
Kris Kvilekval
Christian Lang
Chunghau Lee
Suk Lee
Vebjorn Ljosa
Raimondas Lencevicius
Pei-Ching Lu
Anand Meka
K V Ravi Kanth
Hao Sun
Roman Vitenverg
Jing Wang
Jinyun Yan
Gayatree Ganu
Minji Wu
Wei Wang
Hai T. Nguyen
Bhargav Kanagal
Jian Li
Qiang Qiu
Walaa Moustafa
Prithviraj Sen
Debabrata Dash
Kun Gao
Nikos Hardavellas
Ryan Johnson
Naju Mancheril
Ippokratis Pandis
Stratos Papadomanolakis
Minglong Shao
Shimin Chen
Christopher Colohan
Stavros Harizopoulos
Mengzhi Wang
Vladislav Shkapenyuk
Nitin Agrawal
Lakshmi Bairavasundaram
Haryadi Gunawi
Abhishek Rajimwale
Swami Sundararaman
Shweta Krishnan M.S. 2007 (Cisco)
Meenali Rungta, M.S. 2006 (Google)
James Nugent, M.S. 2005
Camille Fournier, M.S. 2005 (Goldman Sachs)
Brian Forney, M.S. 2001 (Cassatt)
Sambavi Muthukrishnan
Muthian Sivathanu
John Bent
Vijayan Prabhakaran
Tim Denehy
Nathan Burnett
Tim Denehy
Florentina Popovici
Todd Jones
Dana Ballard
Xuerui Wang
Kedar Belare
Pallika Kanani
Greg Druck
David Mimno
Michael Wick
Rachel Shorey
Karl Schultz
Gaurav Chandalia
Limin Yao
Jason Naradowsky
Ron Bekkerman 
Alex Dingle 
Mike Mammarella
Ben Wellner
Gary Huang
Andrew Tolopko
Andres Corrada-Emmanuel
Fuchun Peng
Nadia Ghamrawi
Gideon Mann
Chris Pal
Rob Hall
Wei Li
Aron Culotta
Doug Baker
Tom Mitchell
Sebastian Thrun
Venu Govindaraju
Ashish Bindra
M. Ahmad
H. Chilukuri
J. Kang
Vineet Chaoji
V. Vaingankar
Karthik Marudhachalam Ramasamy
Xiangrong Kong
Tristan Naumann
Amar Patel
Ruiyang Wu
Haoyun Feng
Eugene Kogan
Christos Angelopoulos
Joey Fortuna
David Cossard
Cyril Nortet
Bagus Emir Ikhwanto
Andrea Legtchenko
Bert Huang
Ronan Tr¨¦pos
Christel Vrain
Cao Xia
Xu Xin 
